,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
37,37,-250000.0,2021-12-16 05:00:54.334357,2021-12-16 05:04:38.437268,0 days 00:03:44.102911,tanh,8,0.4,0.09247436998584506,1.0,0.9999,0.47953753694412726,0.3,20,1024,small,0.4838168335494884,PRUNED
38,38,-250000.0,2021-12-16 05:04:38.442097,2021-12-16 05:09:42.367984,0 days 00:05:03.925887,tanh,8,0.4,0.0271714556785694,0.9,0.9999,0.05859207976050555,2.0,10,256,medium,0.6068810844412157,PRUNED
39,39,-250000.0,2021-12-16 05:09:42.372587,2021-12-16 05:19:41.363498,0 days 00:09:58.990911,tanh,8,0.4,0.006853739095620259,0.98,0.999,0.4150262132424932,5.0,20,16,medium,0.6588093195614119,PRUNED
40,40,-250000.0,2021-12-16 05:19:41.367979,2021-12-16 05:21:20.338498,0 days 00:01:38.970519,tanh,512,0.4,0.0004988349102455273,1.0,0.98,0.026609778754808185,0.8,20,1024,medium,0.7650498383456983,PRUNED
41,41,-250000.0,2021-12-16 05:21:20.343030,2021-12-16 05:29:33.711932,0 days 00:08:13.368902,tanh,8,0.4,0.03973034879823147,1.0,0.9999,0.14942809955573008,0.3,20,1024,medium,0.1351240296633111,PRUNED
42,42,-250000.0,2021-12-16 05:29:33.716874,2021-12-16 05:37:47.984796,0 days 00:08:14.267922,tanh,8,0.2,0.006782727071425652,1.0,0.9999,0.20457116435661477,0.3,20,1024,medium,0.30991129014936686,PRUNED
43,43,-1024.0,2021-12-16 05:37:47.989205,2021-12-16 06:12:05.855653,0 days 00:34:17.866448,tanh,8,0.2,0.003580513498440187,1.0,0.9999,0.1360420240184855,0.3,20,1024,medium,0.06637729274670284,COMPLETE
44,44,-16.0,2021-12-16 06:12:05.869853,2021-12-16 06:17:22.541756,0 days 00:05:16.671903,relu,64,0.4,6.647783912217445e-05,0.92,0.9999,0.53964598355351,0.3,10,2048,medium,0.39341748333213444,COMPLETE
45,45,-250000.0,2021-12-16 06:17:22.555697,2021-12-16 06:18:45.291033,0 days 00:01:22.735336,relu,64,0.4,7.878312721191358e-05,0.92,0.99,0.6195781985717866,0.5,10,2048,medium,0.3687031817304874,PRUNED
46,46,-560.0,2021-12-16 06:18:45.295497,2021-12-16 06:21:00.971900,0 days 00:02:15.676403,tanh,64,0.4,2.563223489508415e-08,0.92,0.995,0.6153650602452918,0.6,10,2048,small,0.5231169387357104,COMPLETE
47,47,-250000.0,2021-12-16 06:21:00.986370,2021-12-16 06:22:20.236862,0 days 00:01:19.250492,relu,64,0.4,0.052507039093990564,0.92,0.9999,0.3252300027399545,0.9,10,2048,medium,0.43285727911277366,PRUNED
48,48,-784.0,2021-12-16 06:22:20.241386,2021-12-16 06:26:16.630065,0 days 00:03:56.388679,relu,512,0.1,0.0003878152247938999,0.99,0.98,0.08091342184876094,5.0,10,128,medium,0.4739777457604436,COMPLETE
49,49,-250000.0,2021-12-16 06:26:16.644005,2021-12-16 06:27:52.900111,0 days 00:01:36.256106,tanh,128,0.4,9.614981215267796e-06,0.98,0.999,6.07458396200723e-05,0.8,10,64,medium,0.35918606910838385,PRUNED
50,50,8.0,2021-12-16 06:27:52.904949,2021-12-16 06:30:43.201735,0 days 00:02:50.296786,relu,64,0.3,0.0014368151536857934,0.9,0.95,0.25989764517559777,1.0,5,512,medium,0.9137480865478977,COMPLETE
51,51,-882.0,2021-12-16 06:30:43.215040,2021-12-16 06:33:32.100882,0 days 00:02:48.885842,relu,64,0.3,0.0038021420288870144,0.9,0.95,0.26548639901827414,1.0,5,512,medium,0.9602875359640174,COMPLETE
52,52,-250000.0,2021-12-16 06:33:32.114709,2021-12-16 06:34:31.659406,0 days 00:00:59.544697,relu,64,0.3,0.0012600781350581931,0.9,0.95,0.9245764490715933,1.0,5,128,medium,0.8674033197667514,PRUNED
53,53,-654.0,2021-12-16 06:34:31.663976,2021-12-16 06:37:22.756322,0 days 00:02:51.092346,relu,64,0.3,0.00823181503439934,0.9,0.95,0.2511237689626998,1.0,5,512,medium,0.9023582451398783,COMPLETE
54,54,-250000.0,2021-12-16 06:37:22.769558,2021-12-16 06:38:12.546236,0 days 00:00:49.776678,relu,128,0.3,3.385770668760505e-05,0.8,0.95,0.10971811452364592,0.3,5,512,medium,0.9467320680077188,PRUNED
55,55,-796.0,2021-12-16 06:38:12.550920,2021-12-16 06:43:34.662461,0 days 00:05:22.111541,relu,16,0.4,1.1472548407570787e-07,0.92,0.99,0.63158749705606,0.6,5,32,medium,0.822302749364786,COMPLETE
56,56,-882.0,2021-12-16 06:43:34.675905,2021-12-16 06:44:55.871394,0 days 00:01:21.195489,relu,64,0.1,0.0021696295207064976,0.9,0.9,0.39535811961421524,2.0,1,2048,medium,0.8844890523811025,COMPLETE
57,57,-728.0,2021-12-16 06:44:55.884752,2021-12-16 06:45:29.193673,0 days 00:00:33.308921,relu,256,0.1,0.012617505530445211,0.9,0.9999,0.0663672678812266,5.0,10,256,small,0.9700333329053537,PRUNED
58,58,-1072.0,2021-12-16 06:45:29.198300,2021-12-16 06:47:14.284387,0 days 00:01:45.086087,relu,128,0.3,7.180807068201565e-07,0.8,0.9,0.037022222946918655,0.7,1,16,medium,0.731032493114536,COMPLETE
59,59,-250000.0,2021-12-16 06:47:14.297656,2021-12-16 06:48:41.079128,0 days 00:01:26.781472,relu,128,0.4,0.00032553752877055353,0.92,0.995,0.25388807504026684,1.0,1,512,medium,0.4217112451096169,COMPLETE
60,60,-250000.0,2021-12-16 06:48:41.092846,2021-12-16 06:49:40.688103,0 days 00:00:59.595257,tanh,64,0.1,0.0007310147269090351,0.99,0.95,0.6365529471363739,0.5,5,128,medium,0.7905636093883467,PRUNED
61,61,-250000.0,2021-12-16 06:49:40.692524,2021-12-16 07:24:10.874274,0 days 00:34:30.181750,relu,8,0.2,8.330612957275696e-05,1.0,0.9999,0.180771834425233,0.3,20,1024,medium,0.10425137567272375,COMPLETE
62,62,-250000.0,2021-12-16 07:24:10.889030,2021-12-16 07:34:09.475429,0 days 00:09:58.586399,relu,8,0.2,7.174198746631694e-06,1.0,0.9999,0.10612231538851966,0.3,20,8,medium,5.447024753024721e-06,PRUNED
63,63,-792.0,2021-12-16 07:34:09.479898,2021-12-16 07:53:17.252544,0 days 00:19:07.772646,relu,16,0.2,1.561404397511008e-05,0.9,0.9999,0.017704331595655504,0.3,20,32,medium,0.2540828177599297,COMPLETE
64,64,-230.0,2021-12-16 07:53:17.265898,2021-12-16 08:05:29.814692,0 days 00:12:12.548794,relu,32,0.2,5.341321591036279e-05,0.8,0.9,0.2081884604723955,0.3,20,64,medium,0.573022418349388,COMPLETE
65,65,-1128.0,2021-12-16 08:05:29.828139,2021-12-16 08:06:51.162638,0 days 00:01:21.334499,relu,32,0.2,0.026535937293185454,0.8,0.9,0.3039303822293334,0.7,1,64,medium,0.685824628549332,COMPLETE
66,66,-156.0,2021-12-16 08:06:51.175966,2021-12-16 08:19:04.449851,0 days 00:12:13.273885,relu,32,0.3,1.528405497392344e-06,0.8,0.9,0.5066625563633127,0.9,20,64,medium,0.5582833682374307,COMPLETE
67,67,-654.0,2021-12-16 08:19:04.463476,2021-12-16 08:20:26.127374,0 days 00:01:21.663898,relu,32,0.3,2.446587722697529e-06,0.8,0.9,0.5023859355087481,0.9,1,64,medium,0.456273389738163,COMPLETE
68,68,-250000.0,2021-12-16 08:20:26.142011,2021-12-16 08:21:24.975688,0 days 00:00:58.833677,relu,32,0.3,1.7131522380227905e-07,0.8,0.9,0.8301010904134295,5.0,10,128,small,0.9203897918451396,PRUNED
69,69,-944.0,2021-12-16 08:21:24.980155,2021-12-16 08:54:28.727605,0 days 00:33:03.747450,relu,128,0.3,1.5080588174623945e-06,0.92,0.98,0.0014518729105415479,0.9,20,8,medium,0.87982805053328,COMPLETE
70,70,-250000.0,2021-12-16 08:54:28.741158,2021-12-16 08:55:30.645016,0 days 00:01:01.903858,relu,512,0.3,4.0006841470760484e-07,0.95,0.9,1.2456004322404865e-05,0.9,5,64,medium,0.5170688488437906,PRUNED
71,71,326.0,2021-12-16 08:55:30.649545,2021-12-16 09:07:52.395980,0 days 00:12:21.746435,relu,32,0.2,4.10315394255726e-06,0.8,0.9,0.2004020133323789,0.7,20,64,medium,0.5619918548393977,COMPLETE
72,72,-824.0,2021-12-16 09:07:52.409417,2021-12-16 09:20:06.234496,0 days 00:12:13.825079,relu,32,0.1,7.805863126421284e-07,0.8,0.9,0.41634827654455286,0.7,20,64,medium,0.6406344762398055,COMPLETE
73,73,-756.0,2021-12-16 09:20:06.247787,2021-12-16 09:32:33.565939,0 days 00:12:27.318152,relu,32,0.3,4.848977595537912e-06,0.8,0.9,0.1173468869272224,0.7,20,64,medium,0.5542663206672385,COMPLETE
74,74,-750.0,2021-12-16 09:32:33.579366,2021-12-16 09:44:48.440241,0 days 00:12:14.860875,relu,32,0.2,4.7027890871876443e-07,0.8,0.9,0.33064000441003744,0.7,20,128,medium,0.7535275483186694,COMPLETE
75,75,-736.0,2021-12-16 09:44:48.453651,2021-12-16 10:06:04.259653,0 days 00:21:15.806002,relu,16,0.4,4.586387393822324e-08,0.98,0.999,0.22803219285632362,0.7,20,2048,medium,0.5896081234108297,COMPLETE
76,76,-250000.0,2021-12-16 10:06:04.273274,2021-12-16 10:06:35.985325,0 days 00:00:31.712051,tanh,256,0.2,3.670054628235683e-06,0.92,0.9,0.5226060730031371,0.9,1,512,medium,0.9827917174890268,PRUNED
77,77,-396.0,2021-12-16 10:06:35.989807,2021-12-16 10:39:51.604207,0 days 00:33:15.614400,relu,128,0.3,1.0605521971874261e-06,0.9,0.98,0.7987785750704482,0.8,20,8,medium,0.5067710717725465,COMPLETE
78,78,-814.0,2021-12-16 10:39:51.617591,2021-12-16 10:48:42.308660,0 days 00:08:50.691069,relu,64,0.4,1.9900894041690474e-06,0.8,0.99,0.0785756655718106,0.7,20,64,medium,0.3861964623888118,COMPLETE
79,79,-1172.0,2021-12-16 10:48:42.322690,2021-12-16 10:49:33.313393,0 days 00:00:50.990703,relu,32,0.2,1.0816924978907434e-05,0.92,0.9,0.17094645749831144,1.0,1,256,small,0.7014706067973394,COMPLETE
80,80,-250000.0,2021-12-16 10:49:33.326723,2021-12-16 11:00:03.271810,0 days 00:10:29.945087,tanh,16,0.1,0.08999413685170686,0.8,0.95,0.04849354939288978,2.0,10,128,medium,0.857768135238296,COMPLETE
81,81,-792.0,2021-12-16 11:00:03.285390,2021-12-16 11:12:14.732314,0 days 00:12:11.446924,relu,32,0.2,5.471956193007092e-05,0.8,0.9,0.19794578283273465,0.3,20,64,medium,0.5815273238814795,COMPLETE
82,82,-464.0,2021-12-16 11:12:14.745831,2021-12-16 11:24:25.136295,0 days 00:12:10.390464,relu,32,0.2,2.8433694966167405e-05,0.8,0.9,0.34126189445765903,0.3,20,64,medium,0.624789571175536,COMPLETE
83,83,-868.0,2021-12-16 11:24:25.149807,2021-12-16 11:36:35.998508,0 days 00:12:10.848701,relu,32,0.2,2.6014325664770397e-07,0.8,0.9,0.23045005443774508,5.0,20,64,medium,0.5714481387651845,COMPLETE
84,84,-840.0,2021-12-16 11:36:36.012750,2021-12-16 11:55:37.907132,0 days 00:19:01.894382,relu,32,0.2,0.0002290277871461804,0.8,0.9,0.13255418313733822,0.6,20,16,medium,0.5348659106740477,COMPLETE
85,85,-250000.0,2021-12-16 11:55:37.920715,2021-12-16 11:58:26.088159,0 days 00:02:48.167444,relu,128,0.2,3.4387439725700964e-06,0.9,0.995,0.004862124547761358,0.3,20,64,medium,0.489720383840438,PRUNED
86,86,-250000.0,2021-12-16 11:58:26.092655,2021-12-16 12:08:23.875456,0 days 00:09:57.782801,relu,64,0.4,0.002371415750895834,0.99,0.98,0.988488409716898,0.7,20,8,medium,0.4503505696586863,PRUNED
87,87,-250000.0,2021-12-16 12:08:23.879987,2021-12-16 12:09:06.968571,0 days 00:00:43.088584,relu,512,0.2,0.0009994556829350507,0.95,0.9,0.4597123451431158,0.5,5,2048,medium,0.3131814943288518,PRUNED
88,88,-250000.0,2021-12-16 12:09:06.973160,2021-12-16 12:10:55.923942,0 days 00:01:48.950782,tanh,32,0.3,1.6278239910623984e-06,0.92,0.9999,0.09966224995108058,1.0,1,512,medium,0.3501806116751271,COMPLETE
89,89,80.0,2021-12-16 12:10:55.937318,2021-12-16 12:14:52.181638,0 days 00:03:56.244320,relu,128,0.1,2.4360700775511588e-05,0.98,0.999,0.3161062577660052,0.3,10,128,medium,0.6545003640596907,COMPLETE
90,90,-512.0,2021-12-16 12:14:52.194623,2021-12-16 12:18:49.512317,0 days 00:03:57.317694,relu,128,0.1,5.406058977935276e-07,0.98,0.999,0.6524293141583507,0.9,10,128,medium,0.7107771602045003,COMPLETE
91,91,-250000.0,2021-12-16 12:18:49.525884,2021-12-16 12:20:09.684718,0 days 00:01:20.158834,relu,128,0.1,2.3825576599212058e-05,0.98,0.999,0.2863344765439423,0.3,10,128,medium,0.6558152476831317,PRUNED
92,92,-250000.0,2021-12-16 12:20:09.689325,2021-12-16 12:21:29.787310,0 days 00:01:20.097985,relu,128,0.1,1.7336696009886154e-05,0.98,0.999,0.18694213002936894,0.3,10,128,medium,0.6286817685104673,PRUNED
93,93,-250000.0,2021-12-16 12:21:29.791922,2021-12-16 12:22:50.090480,0 days 00:01:20.298558,relu,128,0.1,4.247635117354567e-05,0.98,0.999,0.0006381162389257228,0.3,10,128,medium,0.5726096121426741,PRUNED
94,94,-690.0,2021-12-16 12:22:50.095112,2021-12-16 12:29:17.624983,0 days 00:06:27.529871,relu,64,0.4,9.699737817772193e-05,0.9,0.95,0.3579836919104996,0.3,10,32,medium,0.8125642980323096,COMPLETE
95,95,140.0,2021-12-16 12:29:17.638360,2021-12-16 12:48:26.135044,0 days 00:19:08.496684,relu,16,0.1,1.0745203228487408e-06,0.8,0.9,0.14685627329057577,5.0,20,64,medium,0.6720785524062929,COMPLETE
96,96,-250000.0,2021-12-16 12:48:26.149750,2021-12-16 12:49:03.376875,0 days 00:00:37.227125,relu,16,0.1,1.102953772022805e-06,0.92,0.98,0.5391186022787948,5.0,1,1024,medium,0.6740309829490368,PRUNED
97,97,344.0,2021-12-16 12:49:03.381403,2021-12-16 12:52:02.314386,0 days 00:02:58.932983,relu,16,0.1,5.711532430500101e-06,1.0,0.9999,0.0660648104755406,5.0,5,2048,small,0.7643073222975222,COMPLETE
98,98,-250000.0,2021-12-16 12:52:02.327895,2021-12-16 12:52:50.509989,0 days 00:00:48.182094,tanh,16,0.1,4.704227686113695e-06,1.0,0.9999,0.06210534650262609,5.0,5,2048,small,0.77199181981443,PRUNED
99,99,-250000.0,2021-12-16 12:52:50.514604,2021-12-16 12:53:36.683633,0 days 00:00:46.169029,relu,16,0.1,1.2459147445448353e-05,1.0,0.9999,0.03827326564453523,5.0,5,2048,small,0.7507592924034163,PRUNED
100,100,-250000.0,2021-12-16 12:53:36.688316,2021-12-16 12:54:24.109387,0 days 00:00:47.421071,relu,16,0.1,7.107766338048514e-06,1.0,0.9999,0.13804280543740058,5.0,5,2048,small,0.7244699399315147,PRUNED
101,101,-250000.0,2021-12-16 12:54:24.114225,2021-12-16 12:55:12.025984,0 days 00:00:47.911759,relu,16,0.1,1.4766622722397015e-07,1.0,0.9999,0.0894778587804323,5.0,5,2048,small,0.6010067497143139,PRUNED
102,102,-1152.0,2021-12-16 12:55:12.030588,2021-12-16 13:04:03.038662,0 days 00:08:51.008074,relu,16,0.1,2.004759507581493e-06,0.9,0.9,0.27990291893402724,5.0,20,128,small,0.9294830758381964,COMPLETE
