,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
41,41,-250000.0,2021-12-11 18:37:34.336187,2021-12-11 18:38:22.205148,0 days 00:00:47.868961,256,0.1,0.09819295993693913,1.0,0.95,0.027289299071600357,0.8,20,256,0.6374232497624446,PRUNED
42,42,-666.0,2021-12-11 18:38:22.220107,2021-12-11 18:39:07.418212,0 days 00:00:45.198105,256,0.1,0.012679462605321259,1.0,0.95,0.014331577653852397,0.8,20,256,0.5050954792725545,PRUNED
43,43,-1496.0,2021-12-11 18:39:07.433172,2021-12-11 18:39:49.737018,0 days 00:00:42.303846,256,0.1,0.04740044205120432,1.0,0.95,0.20945425157204517,0.7,20,1024,0.6476443805916114,PRUNED
44,44,-1016.0,2021-12-11 18:39:49.753973,2021-12-11 18:41:37.276374,0 days 00:01:47.522401,128,0.1,0.0002103068335743982,0.98,0.99,0.11253631778733578,0.6,20,32,0.2900626243318263,PRUNED
45,45,-660.0,2021-12-11 18:41:37.295323,2021-12-11 18:42:47.289105,0 days 00:01:09.993782,64,0.4,0.0055418515043281396,1.0,0.995,0.006112024449136823,0.8,20,256,0.7633167891881558,PRUNED
46,46,-904.0,2021-12-11 18:42:47.304065,2021-12-11 18:48:13.118582,0 days 00:05:25.814517,8,0.3,0.0009530793496338774,0.92,0.9999,0.539368756860466,0.9,20,16,0.4829046562021062,PRUNED
47,47,-250000.0,2021-12-11 18:48:13.138528,2021-12-11 18:48:46.138261,0 days 00:00:32.999733,256,0.2,0.0020134577216419534,0.99,0.999,0.018012407554165607,1.0,1,128,0.5848615223032915,PRUNED
48,48,-768.0,2021-12-11 18:48:46.154218,2021-12-11 18:49:51.958206,0 days 00:01:05.803988,32,0.4,0.0003769002473631059,0.98,0.99,0.0030065361084094717,0.3,10,64,0.23044756259372054,PRUNED
49,49,-250000.0,2021-12-11 18:49:51.976159,2021-12-11 18:50:46.698788,0 days 00:00:54.722629,128,0.3,0.039366524550929934,0.95,0.9,0.052478292366408066,5.0,20,256,0.36281626423840363,PRUNED
50,50,-648.0,2021-12-11 18:50:46.713747,2021-12-11 18:52:34.051642,0 days 00:01:47.337895,64,0.1,0.01533071762114849,0.8,0.98,0.010850209259714024,0.9,5,8,0.44824469331463995,PRUNED
51,51,-1204.0,2021-12-11 18:52:34.066602,2021-12-11 18:53:23.643993,0 days 00:00:49.577391,128,0.4,5.4622100704785426e-06,0.98,0.9,0.005227535793494194,0.7,20,1024,0.4047789150133101,PRUNED
52,52,-250000.0,2021-12-11 18:53:23.661946,2021-12-11 18:54:15.482337,0 days 00:00:51.820391,128,0.4,2.671451003035261e-06,0.98,0.9,0.0009924267655166336,0.7,20,1024,0.3751252398364308,PRUNED
53,53,-606.0,2021-12-11 18:54:15.500289,2021-12-11 18:55:05.767834,0 days 00:00:50.267545,128,0.4,4.329059089356851e-05,0.98,0.9,0.02937139825450827,2.0,20,1024,0.32972843669471896,PRUNED
54,54,-824.0,2021-12-11 18:55:05.782794,2021-12-11 18:58:00.869476,0 days 00:02:55.086682,16,0.4,1.6686535453207573e-05,0.98,0.95,0.0038292893355731856,0.7,20,32,0.5341159397906781,PRUNED
55,55,-99904.0,2021-12-11 18:58:00.886429,2021-12-11 18:58:49.208179,0 days 00:00:48.321750,128,0.4,6.10904165605838e-07,0.9,0.995,0.08606657446275334,0.7,20,2048,0.7353900840452792,PRUNED
56,56,-249180.0,2021-12-11 18:58:49.223140,2021-12-11 18:59:23.036695,0 days 00:00:33.813555,512,0.4,9.301552952645118e-06,0.98,0.98,0.0004470351664768153,0.5,5,512,0.2538710365685473,PRUNED
57,57,-149188.0,2021-12-11 18:59:23.053650,2021-12-11 19:00:30.115274,0 days 00:01:07.061624,64,0.3,2.3888900513061475e-06,0.9,0.9999,0.008738743226848351,0.9,20,1024,0.15164569549122742,PRUNED
58,58,-1432.0,2021-12-11 19:00:30.132229,2021-12-11 19:03:28.907046,0 days 00:02:58.774817,8,0.4,2.1962489468652428e-07,0.92,0.999,0.002112569079113534,5.0,10,8,0.475462015381396,PRUNED
59,59,-1184.0,2021-12-11 19:03:28.922005,2021-12-11 19:04:00.558385,0 days 00:00:31.636380,512,0.3,2.3259068538821295e-05,0.95,0.9,0.0013110030894320785,0.6,1,64,0.5555044248911535,PRUNED
60,60,-612.0,2021-12-11 19:04:00.573344,2021-12-11 19:04:47.481874,0 days 00:00:46.908530,32,0.4,0.00010132649034842144,0.98,0.99,0.016896679696160197,0.9,5,256,0.4248141721481238,PRUNED
61,61,-778.0,2021-12-11 19:04:47.496835,2021-12-11 19:06:28.490698,0 days 00:01:40.993863,8,0.2,1.2335819185556092e-08,0.8,0.9999,0.2009900036129907,0.8,5,64,0.6619381951229102,PRUNED
