,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
52,52,-1454.0,2021-12-14 05:59:13.419344,2021-12-14 06:56:39.316314,0 days 00:57:25.896970,8,0.3,4.124863349790864e-06,0.92,0.9,7.848750371199041e-05,5.0,20,512,0.5769951784396021,COMPLETE
53,53,-1850.0,2021-12-14 06:56:39.359199,2021-12-14 07:22:12.299914,0 days 00:25:32.940715,8,0.3,1.618501928645005e-05,0.92,0.9,0.0001389359058313276,0.5,20,512,0.4971601440052094,PRUNED
54,54,-1860.0,2021-12-14 07:22:12.313877,2021-12-14 07:35:28.578042,0 days 00:13:16.264165,256,0.3,0.00014847337177084272,0.92,0.9,0.0013959037336476832,0.9,20,16,0.38576568532988825,PRUNED
55,55,130.0,2021-12-14 07:35:28.592004,2021-12-14 08:32:55.035513,0 days 00:57:26.443509,8,0.3,2.2169129832721923e-05,0.92,0.99,0.000258298063665689,5.0,20,256,0.32402891260473227,COMPLETE
56,56,-250000.0,2021-12-14 08:32:55.068425,2021-12-14 08:34:47.020976,0 days 00:01:51.952551,512,0.3,2.9846392348978463e-05,0.92,0.99,0.00024011746338057217,5.0,20,256,0.31661366538620195,PRUNED
57,57,-1840.0,2021-12-14 08:34:47.034939,2021-12-14 09:02:47.786291,0 days 00:28:00.751352,16,0.3,1.6452642654354684e-05,0.98,0.99,5.168584083769548e-05,0.8,20,256,0.6584246080494893,COMPLETE
58,58,-1860.0,2021-12-14 09:02:47.829177,2021-12-14 09:28:56.901248,0 days 00:26:09.072071,8,0.2,5.736204423699759e-06,0.92,0.99,9.820942697425682e-05,0.7,20,8,0.46649921066875377,PRUNED
59,59,-1850.0,2021-12-14 09:28:56.915211,2021-12-14 09:54:50.950503,0 days 00:25:54.035292,8,0.3,0.00047452215716122556,1.0,0.99,3.4533784418062734e-05,5.0,20,256,0.5086868387428916,PRUNED
60,60,-1850.0,2021-12-14 09:54:50.964465,2021-12-14 10:21:07.689067,0 days 00:26:16.724602,8,0.3,4.067763799479925e-05,0.92,0.9,0.0011290064910256642,5.0,20,512,0.4492364182804453,PRUNED
61,61,-1840.0,2021-12-14 10:21:07.703031,2021-12-14 11:21:06.946831,0 days 00:59:59.243800,8,0.3,1.1679219608231507e-05,0.92,0.9,0.881649802265758,5.0,20,512,0.5534065870821498,COMPLETE
62,62,130.0,2021-12-14 11:21:06.990713,2021-12-14 12:18:33.272653,0 days 00:57:26.281940,8,0.3,0.0001242277625942335,0.92,0.995,0.0001651583353240933,5.0,20,512,0.34313164450851746,COMPLETE
63,63,130.0,2021-12-14 12:18:33.302573,2021-12-14 13:16:17.961360,0 days 00:57:44.658787,8,0.3,9.543067911325707e-05,0.92,0.99,0.00018057445921847504,5.0,20,256,0.3480526731040039,COMPLETE
64,64,-250000.0,2021-12-14 13:16:18.002251,2021-12-14 13:18:10.390636,0 days 00:01:52.388385,256,0.3,0.00014027369318956112,0.98,0.995,0.00020481802891345405,0.5,20,256,0.35570093609642683,PRUNED
65,65,-1860.0,2021-12-14 13:18:10.403601,2021-12-14 13:31:49.492714,0 days 00:13:39.089113,16,0.3,0.00032707991624260027,0.92,0.995,0.0005012969744539916,0.9,20,256,0.32556684428204063,PRUNED
66,66,-1850.0,2021-12-14 13:31:49.507675,2021-12-14 13:46:06.538303,0 days 00:14:17.030628,8,0.2,7.11138181920659e-05,0.92,0.995,6.75230570940157e-05,5.0,5,16,0.2516102190482195,COMPLETE
67,67,-1860.0,2021-12-14 13:46:06.568223,2021-12-14 14:11:42.888897,0 days 00:25:36.320674,8,0.3,6.336382548735769e-05,0.92,0.9,0.0001043893541093218,0.8,20,512,0.6027135634532492,PRUNED
68,68,130.0,2021-12-14 14:11:42.902860,2021-12-14 14:17:16.124564,0 days 00:05:33.221704,128,0.3,5.029685605254931e-06,0.92,0.9,0.0004466812273326472,5.0,20,512,0.40529602991997876,COMPLETE
69,69,130.0,2021-12-14 14:17:16.156478,2021-12-14 15:16:51.559049,0 days 00:59:35.402571,8,0.3,2.155717187409145e-07,0.8,0.99,0.00018481039231109823,0.7,20,256,0.2692454738420993,COMPLETE
